TAZ12,Lon,Lat,i,value,year,dailyCapacity,hourlyCapacity,cost
"3030",-119.691848566942,37.9432606870394,"1","1","2025","500","324",1262491
"3034",-120.43422150028,37.7738081179365,"1","1","2025","500","324",1262491
"3100",-120.969547222813,36.5275658678316,"1","1","2025","500","324",1262491
"3101",-121.522474911746,36.8328393148974,"1","1","2025","500","324",1262491
"3121",-122.018212107149,37.0235211349695,"1","1","2025","500","324",1262491
"3211",-121.451295679041,36.3477051989184,"1","1","2025","500","324",1262491
"3216",-121.785269373638,36.7095585154616,"1","1","2025","500","324",1262491
"3252",-120.910810052476,35.9605171998839,"1","1","2025","500","324",1262491
"3301",-119.987896653595,35.2280107839926,"1","1","2025","500","324",1262491
"3303",-120.885732604978,35.6912579933363,"1","1","2025","500","324",1262491
"3324",-120.79052213703,35.3331866095589,"1","1","2025","500","324",1262491
"3362",-120.032558934441,34.703891202709,"1","1","2025","500","324",1262491
"3363",-120.272681241429,34.5336955197478,"1","1","2025","500","324",1262491
"3364",-120.020260668448,34.5540054410697,"1","1","2025","500","324",1262491
"3385",-120.398762231821,34.9573496770783,"1","1","2025","500","324",1262491
"3400",-119.14444167002,34.6387778665453,"1","1","2025","500","324",1262491
"3452",-119.021389590792,34.3069933463154,"1","1","2025","500","324",1262491
"3501",-118.851725942679,34.1544580895014,"1","1","2025","500","324",1262491
"3602",-117.863719280165,34.2984142808029,"1","1","2025","500","324",1262491
"3627",-117.973544177759,34.7492445733967,"1","1","2025","500","324",1262491
"3628",-117.760267982291,34.6863091808921,"1","1","2025","500","324",1262491
"3692",-118.295530885329,34.3610479384464,"4","1","2025","1500","324",2509117.08
"3699",-118.635989122871,34.6336006686388,"1","1","2025","500","324",1262491
"3725",-118.575645706117,34.2868308272977,"1","1","2025","500","324",1262491
"3822",-118.530411156452,34.1647330588885,"1","1","2025","500","324",1262491
"4023",-118.268323854909,34.088080550352,"4","1","2025","1500","324",2509117.08
"4277",-118.180785742523,33.9440640349565,"4","1","2025","1500","324",2509117.08
"4547",-118.373885250537,33.9540321067406,"4","1","2025","1500","324",2509117.08
"4622",-118.23638607237,33.8346288189,"4","1","2025","1500","324",2509117.08
"4916",-117.938110012158,34.0621470608439,"1","1","2025","500","324",1262491
"5055",-117.759220651964,34.0827648185871,"1","1","2025","500","324",1262491
"5101",-117.283558694141,35.3859426272637,"7","1","2025","7500","648",7781636
"5138",-115.46865474482,34.9341607638801,"7","1","2025","7500","648",7781636
"5139",-115.854705571636,35.3999329883185,"1","1","2025","500","324",1262491
"5140",-116.600165334143,35.4378697094107,"1","1","2025","500","324",1262491
"5142",-116.243848776799,34.0792339816679,"1","1","2025","500","324",1262491
"5144",-116.597547636965,34.3658095836312,"4","1","2025","1500","324",2509117.08
"5146",-115.873072280476,34.1547120022446,"1","1","2025","500","324",1262491
"5148",-114.802781067676,34.5052103801359,"4","1","2025","1500","324",2509117.08
"5157",-116.864603238637,34.1396883625477,"1","1","2025","500","324",1262491
"5158",-117.382061424215,34.8071658056363,"1","1","2025","500","324",1262491
"5160",-116.993017791236,34.6370083569501,"1","1","2025","500","324",1262491
"5195",-116.440648697204,34.8449949462717,"1","1","2025","500","324",1262491
"5199",-117.563291588792,34.3424727961093,"1","1","2025","500","324",1262491
"5206",-117.695642494353,33.9286025685133,"4","1","2025","1500","324",2509117.08
"5206",-117.695642494353,33.9286025685133,"1","1","2025","500","324",1262491
"5310",-117.471075966127,34.0564816055619,"1","1","2025","500","324",1262491
"5317",-117.394377230289,34.182499704916,"1","1","2025","500","324",1262491
